200 14834
3 2 6
4 2 7
4 3 8
5 1 7
5 2 8
5 3 9
5 4 10
6 1 8
6 2 9
6 4 11
6 5 12
7 1 9
7 2 10
7 6 14
8 1 10
8 4 13
8 5 14
8 6 15
8 7 16
9 1 11
9 2 12
9 3 13
9 4 14
9 5 15
9 6 16
9 7 17
10 1 12
10 3 14
10 5 16
10 8 19
10 9 20
11 1 13
11 3 15
11 5 17
11 6 18
11 7 19
11 8 20
11 9 21
11 10 22
12 2 15
12 3 16
12 5 18
12 7 20
12 9 22
12 10 23
12 11 24
13 1 15
13 2 16
13 3 17
13 4 18
13 5 19
13 6 20
13 7 21
13 8 22
13 10 24
13 11 25
13 12 26
14 1 16
14 2 17
14 4 19
14 5 20
14 8 23
14 9 24
14 10 25
14 11 26
14 12 27
14 13 28
15 1 17
15 2 18
15 3 19
15 4 20
15 5 21
15 6 22
15 7 23
15 8 24
15 9 25
15 10 26
15 12 28
15 13 29
15 14 30
16 1 18
16 2 19
16 4 21
16 5 22
16 6 23
16 8 25
16 9 26
16 10 27
16 11 28
16 12 29
16 13 30
16 15 32
17 2 20
17 3 21
17 6 24
17 7 25
17 8 26
17 9 27
17 10 28
17 12 30
17 13 31
17 14 32
17 15 33
17 16 34
18 1 20
18 3 22
18 4 23
18 7 26
18 8 27
18 9 28
18 10 29
18 12 31
18 13 32
18 14 33
18 15 34
18 17 36
19 2 22
19 3 23
19 4 24
19 6 26
19 7 27
19 8 28
19 10 30
19 11 31
19 13 33
19 14 34
19 15 35
19 17 37
19 18 38
20 1 22
20 2 23
20 3 24
20 4 25
20 5 26
20 6 27
20 7 28
20 8 29
20 9 30
20 10 31
20 13 34
20 14 35
20 15 36
20 16 37
20 18 39
20 19 40
21 5 27
21 6 28
21 8 30
21 9 31
21 10 32
21 11 33
21 12 34
21 14 36
21 15 37
21 16 38
21 17 39
21 18 40
21 19 41
21 20 42
22 1 24
22 2 25
22 3 26
22 4 27
22 5 28
22 6 29
22 7 30
22 8 31
22 9 32
22 10 33
22 11 34
22 12 35
22 14 37
22 15 38
22 16 39
22 17 40
22 18 41
22 21 44
23 2 26
23 3 27
23 5 29
23 6 30
23 7 31
23 9 33
23 10 34
23 13 37
23 15 39
23 16 40
23 17 41
23 18 42
23 19 43
23 21 45
23 22 46
24 1 26
24 2 27
24 3 28
24 6 31
24 7 32
24 8 33
24 9 34
24 10 35
24 11 36
24 12 37
24 13 38
24 14 39
24 16 41
24 19 44
24 20 45
24 23 48
25 2 28
25 3 29
25 4 30
25 5 31
25 6 32
25 9 35
25 10 36
25 11 37
25 13 39
25 16 42
25 17 43
25 18 44
25 20 46
25 21 47
25 22 48
25 23 49
26 1 28
26 2 29
26 3 30
26 4 31
26 5 32
26 6 33
26 7 34
26 9 36
26 10 37
26 12 39
26 13 40
26 15 42
26 16 43
26 17 44
26 19 46
26 20 47
26 21 48
26 22 49
26 23 50
26 24 1
26 25 2
27 1 29
27 2 30
27 3 31
27 4 32
27 6 34
27 7 35
27 8 36
27 9 37
27 10 38
27 11 39
27 13 41
27 14 42
27 15 43
27 16 44
27 17 45
27 19 47
27 20 48
27 21 49
27 22 50
27 23 1
27 24 2
27 25 3
28 1 30
28 3 32
28 5 34
28 6 35
28 7 36
28 8 37
28 9 38
28 10 39
28 11 40
28 12 41
28 13 42
28 16 45
28 18 47
28 20 49
28 21 50
28 23 2
28 24 3
28 26 5
28 27 6
29 1 31
29 2 32
29 5 35
29 6 36
29 7 37
29 8 38
29 9 39
29 10 40
29 11 41
29 12 42
29 13 43
29 15 45
29 16 46
29 18 48
29 19 49
29 21 1
29 22 2
29 23 3
29 24 4
29 25 5
29 26 6
29 27 7
29 28 8
